SYMBOL,EXPIRY_DT,TRADE_DATE,OPEN,HIGH,LOW,CMP,CASH_CHG,INDX_GRP,INDX_WTG,PUT_INT,CALL_INT,COMB_INT,CALL_LOW,CALL_HIGH,PUT_HIGH,PUT_LOW,UNUSED_PC,UNUSED_PC_REV,TREND_PRICE1,TREND_PRICE2,CALL_OI,PUT_OI,CALL_DIFF,PUT_DIFF,COMB_DIFF 
CUMMINSIND,2025-07-31,2025-06-09,3400.0,3419.5,3385.0,3407.4,32,,0,3001.43,3401.18,3353.53,3368.95,3398.67,3358.82,2968.75,0.42,2.38,3366.61,3412.2,4000,4600,3358.24,3054.29,3353.53
CUMMINSIND,2025-07-31,2025-06-10,3419.0,3419.0,3377.7,3382.8,-25,,0,3002.86,3401.11,3354.44,3369,3398.75,3358.48,2967.78,0.46,2.18,3366.87,3411.28,4200,4800,3310,3055.71,3304.44
CUMMINSIND,2025-07-31,2025-06-11,3390.0,3403.3,3361.0,3390,7,,0,3008.57,3400.95,3356.67,3369.13,3398.95,3357.14,2965.38,0.55,1.83,3367.49,3409.15,4800,5200,3314.29,3060,3306.67
CUMMINSIND,2025-07-31,2025-06-12,3386.0,3390.0,3312.0,3324.6,-65,,0,3012,3400.87,3361.3,3369.2,3399.05,3407.74,2964.55,0.99,1.01,3367.24,3368.75,5200,7600,0,3063,3361.3
CUMMINSIND,2025-07-31,2025-06-13,3255.0,3323.0,3248.1,3321,-4,,0,3015,3400.83,3363.33,3369.23,3399.09,3407.38,2964,1.56,0.64,3366.86,3359.7,5400,8200,0,3116,3313.33
CUMMINSIND,2025-08-28,2025-05-30,3189.0,3289.1,3185.2,0,0,,0,0,0,0,0,0,0,0,0,0,3600,3600,0,0,0,0,0
CUMMINSIND,2025-08-28,2025-06-02,3267.0,3325.0,3222.6,0,0,,0,0,0,0,0,0,0,0,0,0,3600,3600,0,0,0,0,0
CUMMINSIND,2025-08-28,2025-06-03,3324.0,3359.4,3297.2,0,0,,0,0,0,0,0,0,0,0,0,0,3800,3800,0,0,0,0,0
CUMMINSIND,2025-08-28,2025-06-04,3321.0,3377.0,3319.0,0,0,,0,0,0,0,0,0,0,0,0,0,3800,3800,0,0,0,0,0
CUMMINSIND,2025-08-28,2025-06-05,3355.0,3380.0,3325.0,0,0,,0,0,0,0,0,0,0,0,0,0,3800,3800,0,0,0,0,0
CUMMINSIND,2025-08-28,2025-06-06,3370.0,3408.3,3349.5,0,0,,0,0,0,0,0,0,0,0,0,0,3800,3800,0,0,0,0,0
CUMMINSIND,2025-08-28,2025-06-09,3400.0,3419.5,3385.0,0,0,,0,0,0,0,0,0,0,0,0,0,3800,3800,0,0,0,0,0
CUMMINSIND,2025-08-28,2025-06-10,3419.0,3419.0,3377.7,0,0,,0,0,0,0,0,0,0,0,0,0,3800,3800,0,0,0,0,0
CUMMINSIND,2025-08-28,2025-06-11,3390.0,3403.3,3361.0,0,0,,0,0,0,0,0,0,0,0,0,0,3800,3800,0,0,0,0,0
CUMMINSIND,2025-08-28,2025-06-12,3386.0,3390.0,3312.0,0,0,,0,0,0,0,0,0,0,0,0,0,3800,3800,0,0,0,0,0
CUMMINSIND,2025-08-28,2025-06-13,3255.0,3323.0,3248.1,0,0,,0,0,0,0,0,0,0,0,0,0,3800,3800,0,0,0,0,0
CYIENT,2025-06-26,2025-05-30,1360.0,1363.6,1332.2,1342,-16,,0,0,0,0,0,0,0,0,0.76,1.32,0,0,462900,304500,0,0,0
CYIENT,2025-06-26,2025-06-02,1342.0,1343.8,1324.9,1334.5,-8,,0,0,0,0,0,0,0,0,0.85,1.18,0,0,498300,351900,0,0,0
CYIENT,2025-06-26,2025-06-03,1336.0,1344.9,1321.0,1326,-9,,0,0,0,0,0,0,0,0,1.1,0.91,0,0,525000,436800,0,0,0
CYIENT,2025-06-26,2025-06-04,1332.0,1358.0,1320.7,1350,24,,0,0,0,0,0,0,0,0,0.67,1.49,0,0,623100,477300,0,0,0
CYIENT,2025-06-26,2025-06-05,1359.5,1359.6,1330.4,1341,-9,,0,0,0,0,0,0,0,0,0.73,1.37,0,0,710700,497700,0,0,0
CYIENT,2025-06-26,2025-06-06,1339.2,1343.5,1319.0,1329.2,-12,,0,0,0,0,0,0,0,0,1.05,0.95,0,0,740700,558000,0,0,0
CYIENT,2025-06-26,2025-06-09,1330.0,1342.9,1319.6,1326,-3,,0,0,0,0,0,0,0,0,1.03,0.97,0,0,0,0,0,0,0
CYIENT,2025-06-26,2025-06-10,1328.0,1368.6,1326.6,1350.1,24,,0,0,0,0,0,0,0,0,0.73,1.36,0,0,992400,692400,0,0,0
CYIENT,2025-06-26,2025-06-11,1356.9,1356.9,1330.0,1343,-7,,0,0,0,0,0,0,0,0,0.76,1.32,0,0,1130100,691800,0,0,0
CYIENT,2025-06-26,2025-06-12,1349.9,1349.9,1310.6,1314,-29,,0,0,0,0,0,0,0,0,1.37,0.73,0,0,1356900,746100,0,0,0
CYIENT,2025-06-26,2025-06-13,1300.0,1316.5,1280.0,1300,-14,,0,0,0,0,0,0,0,0,1.86,0.54,0,0,1328100,779700,0,0,0
CYIENT,2025-07-31,2025-05-30,1360.0,1363.6,1332.2,1342,-16,,0,1340,1480,1360,0,0,0,0,1.45,0.69,0,0,850,850,0,0,1340
CYIENT,2025-07-31,2025-06-02,1342.0,1343.8,1324.9,1334.5,-8,,0,1340,1480,1360,0,0,0,0,1.45,0.69,0,0,850,850,0,0,1260
CYIENT,2025-07-31,2025-06-03,1336.0,1344.9,1321.0,1326,-9,,0,0,1480,0,0,0,0,0,2.2,0.45,0,0,850,1275,0,1220,0
CYIENT,2025-07-31,2025-06-04,1332.0,1358.0,1320.7,1350,24,,0,0,1480,0,0,0,0,0,2.54,0.39,0,0,850,1700,0,1360,0
CYIENT,2025-07-31,2025-06-05,1359.5,1359.6,1330.4,1341,-9,,0,0,1480,0,0,0,0,0,2.96,0.34,0,0,850,2125,0,1300,0
CYIENT,2025-07-31,2025-06-06,1339.2,1343.5,1319.0,1329.2,-12,,0,0,1480,0,0,0,0,0,4.6,0.22,0,0,850,3825,0,1260,0
CYIENT,2025-07-31,2025-06-09,1330.0,1342.9,1319.6,1326,-3,,0,0,1200,0,0,0,0,0,8.29,0.12,0,1220,0,0,0,0,0
CYIENT,2025-07-31,2025-06-10,1328.0,1368.6,1326.6,1350.1,24,,0,0,1200,0,0,0,0,0,10.2,0.1,0,1220,425,6375,0,0,0
CYIENT,2025-07-31,2025-06-11,1356.9,1356.9,1330.0,1343,-7,,0,0,1200,0,0,0,0,0,9.3,0.11,0,1220,425,5950,0,0,0
CYIENT,2025-07-31,2025-06-12,1349.9,1349.9,1310.6,1314,-29,,0,0,1200,0,0,0,0,0,19.5,0.05,0,1220,425,11050,0,0,0
CYIENT,2025-07-31,2025-06-13,1300.0,1316.5,1280.0,1300,-14,,0,0,1380,0,0,0,0,0,20.1,0.05,0,0,850,16150,0,1260,0
CYIENT,2025-08-28,2025-05-30,1360.0,1363.6,1332.2,0,0,,0,0,0,0,0,0,0,0,0,0,1360,1320,0,0,0,0,0
CYIENT,2025-08-28,2025-06-02,1342.0,1343.8,1324.9,0,0,,0,0,0,0,0,0,0,0,0,0,1360,1320,0,0,0,0,0
CYIENT,2025-08-28,2025-06-03,1336.0,1344.9,1321.0,0,0,,0,0,0,0,0,0,0,0,0,0,1360,1320,0,0,0,0,0
CYIENT,2025-08-28,2025-06-04,1332.0,1358.0,1320.7,0,0,,0,0,0,0,0,0,0,0,0,0,1360,1320,0,0,0,0,0
CYIENT,2025-08-28,2025-06-05,1359.5,1359.6,1330.4,0,0,,0,0,0,0,0,0,0,0,0,0,1360,1320,0,0,0,0,0
CYIENT,2025-08-28,2025-06-06,1339.2,1343.5,1319.0,0,0,,0,0,0,0,0,0,0,0,0,0,1360,1320,0,0,0,0,0
CYIENT,2025-08-28,2025-06-09,1330.0,1342.9,1319.6,0,0,,0,0,0,0,0,0,0,0,0,0,1360,1320,0,0,0,0,0
CYIENT,2025-08-28,2025-06-10,1328.0,1368.6,1326.6,0,0,,0,0,0,0,0,0,0,0,0,0,1360,1320,0,0,0,0,0
CYIENT,2025-08-28,2025-06-11,1356.9,1356.9,1330.0,0,0,,0,0,0,0,0,0,0,0,0,0,1360,1320,0,0,0,0,0
CYIENT,2025-08-28,2025-06-12,1349.9,1349.9,1310.6,0,0,,0,0,0,0,0,0,0,0,0,0,1360,1320,0,0,0,0,0
CYIENT,2025-08-28,2025-06-13,1300.0,1316.5,1280.0,0,0,,0,0,0,0,0,0,0,0,0,0,1360,1320,0,0,0,0,0
DABUR,2025-06-26,2025-05-30,482.0,486.15,478.7,483.4,1,,0,475.23,501.79,484.25,487.77,522.28,492.37,447.81,1.04,0.96,493.2,492.65,5535000,3302500,0,0,484.25
DABUR,2025-06-26,2025-06-02,484.45,490.2,481.55,484.5,1,,0,466.81,502.04,483.98,487.82,527.3,487.31,437.78,0.81,1.23,490.02,494.25,6597500,4437500,507.81,431.16,483.98
DABUR,2025-06-26,2025-06-03,484.45,486.8,482.55,484.5,0,,0,468.63,503.15,484.15,487.81,532.31,487.26,437.77,0.74,1.36,489.86,495.2,0,0,0,0,0
DABUR,2025-06-26,2025-06-04,487.0,493.4,484.4,492.5,8,,0,466.47,504.77,486.7,492.76,537.28,487.23,437.76,0.5,1.98,493.15,501.33,7138750,4772500,508.74,443.19,486.7
DABUR,2025-06-26,2025-06-05,494.3,494.35,487.0,487.05,-5,,0,467.64,503.11,486.67,492.8,532.38,492.34,437.75,0.65,1.53,494.13,499,7945000,4787500,499.85,444.09,486.67
DABUR,2025-06-26,2025-06-06,487.4,487.65,480.55,481.45,-6,,0,468.54,501.94,484.74,487.86,527.36,487.22,442.71,1.05,0.95,491.33,491.3,8782500,5278750,500.4,438.59,484.74
DABUR,2025-06-26,2025-06-09,483.65,486.0,481.35,485.6,4,,0,469.67,501.9,484.81,487.87,527.36,487.21,442.72,0.79,1.26,491.66,495.25,9055000,5187500,499.38,438.16,484.81
DABUR,2025-06-26,2025-06-10,486.15,491.4,484.5,489.8,4,,0,471.41,502.67,485.55,487.82,527.39,487.19,442.72,0.6,1.65,492.63,498.77,9280000,5057500,499.39,437.73,485.55
DABUR,2025-06-26,2025-06-11,490.0,493.7,485.35,486.05,-4,,0,472.34,503.03,486.72,492.77,527.38,492.31,442.71,0.85,1.17,494.11,495.82,9217500,5035000,499.66,439.17,486.72
DABUR,2025-06-26,2025-06-12,487.1,487.8,471.45,473.45,-13,,0,469.33,499.5,481.08,487.92,522.34,487.25,442.68,2.16,0.46,489.84,480.9,11286250,5532500,0,0,481.08
DABUR,2025-06-26,2025-06-13,468.0,470.05,464.25,467.6,-6,,0,465.16,498.05,477.62,482.84,517.34,482.2,442.71,2.79,0.36,487.21,474,12515000,6262500,0,0,477.62
DABUR,2025-07-31,2025-05-30,482.0,486.15,478.7,483.4,1,,0,452.65,500.97,495.48,499.3,498.42,477.22,448.71,1.06,0.94,496.78,497.69,51250,65000,496.61,475,495.48
DABUR,2025-07-31,2025-06-02,484.45,490.2,481.55,484.5,1,,0,452.76,500.17,487.5,499.84,499.82,477.11,448.69,1.22,0.82,488.74,482.32,56250,95000,496.5,503.93,487.5
DABUR,2025-07-31,2025-06-03,484.45,486.8,482.55,484.5,0,,0,452.9,499.84,486.67,500.17,500.15,477.07,448.66,1.17,0.85,487.58,483.06,0,0,0,0,0
DABUR,2025-07-31,2025-06-04,487.0,493.4,484.4,492.5,8,,0,454.27,501.32,489.17,499.14,516.97,477.04,448.42,0.71,1.41,496.57,500.73,80000,111250,491.32,493.24,489.17
DABUR,2025-07-31,2025-06-05,494.3,494.35,487.0,487.05,-5,,0,460.28,502.17,495.57,498.84,516.62,482.23,448.2,0.97,1.04,497.1,497.63,132500,166250,493.3,477.81,490.57
DABUR,2025-07-31,2025-06-06,487.4,487.65,480.55,481.45,-6,,0,454.65,508.75,488.4,498.32,521.69,477.07,448.37,1.19,0.84,492.12,490.86,313750,311250,491.28,488.56,488.4
DABUR,2025-07-31,2025-06-09,483.65,486.0,481.35,485.6,4,,0,465.24,502.31,486.73,498.8,516.49,477.2,448.11,0.99,1.02,492.94,494.04,418750,457500,484.82,498.09,486.73
DABUR,2025-07-31,2025-06-10,486.15,491.4,484.5,489.8,4,,0,465.68,502.61,486.64,498.72,516.32,471.58,448.09,0.86,1.16,492.67,494.99,437500,510000,489.75,489.04,486.64
DABUR,2025-07-31,2025-06-11,490.0,493.7,485.35,486.05,-4,,0,465.52,504.88,487.62,498.35,521.65,477.27,448.03,1.07,0.93,493.45,493.34,597500,652500,496.07,475.03,487.62
DABUR,2025-07-31,2025-06-12,487.1,487.8,471.45,473.45,-13,,0,460.99,502.38,481.23,487.68,521.92,471.9,448.06,2.27,0.44,478.12,467.48,1053750,1146250,498,479.77,481.23
DABUR,2025-07-31,2025-06-13,468.0,470.05,464.25,467.6,-6,,0,459.21,500.39,480.29,487.78,522.1,472,448.1,3.08,0.32,476.22,459.59,1316250,1300000,518.12,458.6,480.29
DABUR,2025-08-28,2025-05-30,482.0,486.15,478.7,0,0,,0,0,0,0,0,0,0,0,0,0,560,560,0,0,0,0,0
DABUR,2025-08-28,2025-06-02,484.45,490.2,481.55,0,0,,0,0,0,0,0,0,0,0,0,0,560,560,0,0,0,0,0
DABUR,2025-08-28,2025-06-03,484.45,486.8,482.55,0,0,,0,0,0,0,0,0,0,0,0,0,560,560,0,0,0,0,0
DABUR,2025-08-28,2025-06-04,487.0,493.4,484.4,0,0,,0,0,0,0,0,0,0,0,0,0,560,560,0,0,0,0,0
DABUR,2025-08-28,2025-06-05,494.3,494.35,487.0,0,0,,0,0,0,0,0,0,0,0,0,0,580,580,0,0,0,0,0
DABUR,2025-08-28,2025-06-06,487.4,487.65,480.55,0,0,,0,0,0,0,0,0,0,0,0,0,580,580,0,0,0,0,0
DABUR,2025-08-28,2025-06-09,483.65,486.0,481.35,0,0,,0,0,0,0,0,0,0,0,0,0,580,580,0,0,0,0,0
DABUR,2025-08-28,2025-06-10,486.15,491.4,484.5,0,0,,0,0,0,0,0,0,0,0,0,0,580,580,0,0,0,0,0
DABUR,2025-08-28,2025-06-11,490.0,493.7,485.35,0,0,,0,0,0,0,0,0,0,0,0,0,580,580,0,0,0,0,0
DABUR,2025-08-28,2025-06-12,487.1,487.8,471.45,0,0,,0,0,0,0,0,0,0,0,0,0,580,580,0,0,0,0,0
